1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
138,1,2,3,4,5,6,7,8,9,10,0,0,0,0,0,0,0,0,0,0
139,2,0,0,570,0.417,0.5,0.29,0.32,0.293,237.92876,0,0,0,0,0,0,0,0,0,0
140,3,0.246575342,90,570,0.417,0.5,0.29,0.32,0.293,237.92876,0,0,0,0,0,0,0,0,0,0
141,4,1,365,570,0.417,0.5,0.29,0.32,0.293,237.92876,0,0,0,0,0,0,0,0,0,0
142,5,2,730,570,0.417,0.5,0.29,0.32,0.293,237.92876,0,0,0,0,0,0,0,0,0,0
143,6,3,1095,570,0.417,0.5,0.29,0.32,0.293,237.92876,0,0,0,0,0,0,0,0,0,0
144,7,4,1460,570,0.417,0.5,0.29,0.32,0.293,237.92876,0,0,0,0,0,0,0,0,0,0
145,8,5,1825,570,0.417,0.5,0.29,0.32,0.293,237.92876,0,0,0,0,0,0,0,0,0,0
146,9,6,2190,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
147,10,7,2555,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
148,11,8,2920,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
149,12,9,3285,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
150,13,10,3650,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
151,14,15,5475,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
152,15,20,7300,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
153,16,25,9125,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
154,17,30,10950,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
155,18,40,14600,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
156,19,50,18250,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
157,20,60,21900,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
158,21,70,25550,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
159,22,80,29200,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
160,23,90,32850,570,0.5,0.5,0.3,0,0.2,285.15,0,0,0,0,0,0,0,0,0,0
161,24,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,25,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,26,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,27,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,28,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
166,29,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,30,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,31,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
169,32,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
170,33,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
171,34,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,35,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173,36,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,37,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,38,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
176,39,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,40,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
178,41,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,42,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,43,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
181,44,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,45,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
183,46,999,99999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
